id,claim,evidence_doc_id,evidence_label,evidence_sentences,cited_doc_ids
0,0-dimensional biomaterials lack inductive properties.,,,[],[31715818]
2,1 in 5 million in UK have abnormal PrP positivity.,13734012,CONTRADICT,[4],[13734012]
4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,,,[],[22942787]
6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,,,[],[2613775]
9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,44265107,SUPPORT,[15],[44265107]
10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,,,[],[32587939]
11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,,,[],[32587939]
12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,33409100,SUPPORT,[8],[33409100]
12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,33409100,SUPPORT,[12],[33409100]
14,5'-nucleotidase metabolizes 6MP.,,,[],[641786]
15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,,,[],[22080671]
17,53% of perinatal mortality is due to low birth weight.,,,[],[1606628]
18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,,,[],[22942787]
19,7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,,,[],[3202143]
20,7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.,,,[],[3202143]
21,70% of burn patients are admitted for hospitalization and further treatment after appearing at hospital emergency wards or outpatient clinics.,,,[],[41493639]
22,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,6490571,SUPPORT,[7],[6490571]
24,90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.,,,[],[3471191]
25,90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,,,[],[2613775]
26,A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.,,,[],[32390525]
27,A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 5-6 years of weekly intake.,,,[],[32390525]
28,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,12670680,CONTRADICT,[1],[12670680]
28,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,12670680,CONTRADICT,[2],[12670680]
28,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,12670680,CONTRADICT,[4],[12670680]
30,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,24341590,SUPPORT,[10],[24341590]
30,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,24341590,SUPPORT,[11],[24341590]
30,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,24341590,SUPPORT,[12],[24341590]
30,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,24341590,SUPPORT,[13],[24341590]
32,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,12428497,CONTRADICT,[8],[12428497]
